Region.Id,Region.Data,Region.Name,Color.R,Color.G,Color.B
1,529121,Alabama,114.0,114.0,114.0
2,324335,Arkansas,241.0,241.0,241.0
3,379994,California,241.0,241.0,241.0
4,460147,Connecticut,241.0,241.0,241.0
5,4837,Dakota Territory,241.0,241.0,241.0
6,110418,Delaware,241.0,241.0,241.0
7,71895,District of Columbia,241.0,241.0,241.0
8,78679,Florida,114.0,114.0,114.0
9,595088,Georgia,114.0,114.0,114.0
10,1711951,Illinois,241.0,241.0,241.0
11,55000,Indian Territory,241.0,241.0,241.0
12,1350428,Indiana,241.0,241.0,241.0
13,674913,Iowa,241.0,241.0,241.0
14,107204,Kansas Territory,241.0,241.0,241.0
15,1280201,Kentucky,241.0,241.0,241.0
16,376276,Louisiana,241.0,241.0,241.0
17,628279,Maine,241.0,241.0,241.0
18,599860,Maryland,241.0,241.0,241.0
19,1231066,Massachusetts,241.0,241.0,241.0
20,749113,Michigan,241.0,241.0,241.0
21,172023,Minnesota,241.0,241.0,241.0
22,354674,Mississippi,114.0,114.0,114.0
23,1067081,Missouri,241.0,241.0,241.0
24,28826,Nebraska Territory,241.0,241.0,241.0
25,326073,New Hampshire,241.0,241.0,241.0
26,672035,New Jersey,241.0,241.0,241.0
27,93516,New Mexico Territory,241.0,241.0,241.0
28,3880735,New York,241.0,241.0,241.0
29,661563,North Carolina,114.0,114.0,114.0
30,2339511,Ohio,241.0,241.0,241.0
31,52465,Oregon,241.0,241.0,241.0
32,2906215,Pennsylvania,241.0,241.0,241.0
33,174620,Rhode Island,241.0,241.0,241.0
34,301302,South Carolina,114.0,114.0,114.0
35,834082,Tennessee,241.0,241.0,241.0
36,421649,Texas,114.0,114.0,114.0
37,40244,Utah Territory,241.0,241.0,241.0
38,315098,Vermont,241.0,241.0,241.0
39,755453,Virginia,114.0,114.0,114.0
40,11594,Washington Territory,241.0,241.0,241.0
41,775881,Wisconsin,241.0,241.0,241.0
